epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
55,82.07312744053958,96.73913,96.34146,98.611115,89.02439,66.666664,96.80851,93.40659,78.35052,72.16495,71.604935,92.92929,92.0,95.0,75.5102,99.0,93.93939,97.0,94.680855,90.625,86.31579,68.81721,95.0,90.81633,34.69388,84.44444,70.666664,52.0,79.79798,31.313131,77.083336,76.5625
61,82.21512247071352,96.73913,96.34146,98.611115,87.80488,66.666664,95.74468,95.60439,78.35052,70.103096,72.83951,92.92929,92.0,94.0,74.4898,99.0,93.93939,94.0,93.61702,94.791664,86.31579,68.81721,95.0,89.79592,33.67347,88.888885,73.333336,55.0,83.83839,31.313131,72.916664,76.5625
62,82.35711750088747,96.73913,98.78049,98.611115,89.02439,66.666664,96.80851,96.7033,78.35052,72.16495,72.83951,93.93939,92.0,93.0,74.4898,98.0,91.91919,95.0,93.61702,92.708336,86.31579,68.81721,95.0,89.79592,32.65306,87.77778,72.0,54.0,84.84849,35.353535,72.916664,76.5625
64,82.49911253106141,96.73913,98.78049,98.611115,90.243904,66.666664,95.74468,95.60439,78.35052,73.19588,71.604935,92.92929,92.0,94.0,75.5102,98.0,92.92929,94.0,94.680855,93.75,86.31579,70.96774,95.0,90.81633,34.69388,87.77778,72.0,54.0,85.85859,30.30303,73.958336,76.5625
65,82.81860134895278,96.73913,100.0,98.611115,90.243904,66.666664,95.74468,95.60439,78.35052,73.19588,72.83951,94.94949,92.0,93.0,76.53061,92.0,93.93939,97.0,93.61702,94.791664,86.31579,70.96774,95.0,89.79592,47.959183,90.0,72.0,52.0,85.85859,24.242424,73.958336,78.125
69,83.06709265175719,96.73913,97.560974,98.611115,90.243904,63.88889,96.80851,94.50549,78.35052,72.16495,71.604935,93.93939,93.0,93.0,76.53061,94.0,92.92929,94.0,94.680855,94.791664,85.26316,70.96774,95.0,93.87755,32.65306,92.22222,73.333336,58.0,84.84849,39.39394,77.083336,76.5625
70,83.24458643947462,96.73913,100.0,98.611115,90.243904,63.88889,95.74468,95.60439,78.35052,75.25773,71.604935,92.92929,92.0,93.0,77.55102,97.0,92.92929,94.0,93.61702,95.833336,85.26316,70.96774,97.0,89.79592,34.69388,87.77778,73.333336,55.0,84.84849,44.444443,76.041664,78.125
71,83.56407525736599,96.73913,98.78049,98.611115,91.46342,69.44444,96.80851,94.50549,78.35052,73.19588,71.604935,93.93939,92.0,93.0,77.55102,95.0,92.92929,96.0,94.680855,94.791664,85.26316,69.89247,95.0,89.79592,34.69388,88.888885,73.333336,55.0,84.84849,55.555557,75.0,78.125
73,83.59957401490948,96.73913,100.0,98.611115,90.243904,66.666664,96.80851,95.60439,78.35052,72.16495,69.1358,92.92929,92.0,94.0,77.55102,98.0,91.91919,94.0,95.74468,91.666664,87.36842,70.96774,95.0,89.79592,36.734695,91.111115,73.333336,54.0,84.84849,57.575756,75.0,75.0
74,83.67057152999645,97.82609,100.0,98.611115,89.02439,80.55556,96.80851,95.60439,78.35052,67.01031,71.604935,92.92929,92.0,93.0,78.57143,97.0,92.92929,94.0,94.680855,91.666664,85.26316,70.96774,95.0,89.79592,34.69388,85.55556,73.333336,56.0,84.84849,65.65656,75.0,75.0
75,84.16755413560526,97.82609,100.0,98.611115,89.02439,66.666664,96.80851,95.60439,78.35052,69.07217,72.83951,92.92929,92.0,93.0,77.55102,98.0,93.93939,95.0,95.74468,92.708336,85.26316,72.043015,95.0,89.79592,33.67347,92.22222,73.333336,54.0,83.83839,74.747475,75.0,75.0
76,84.41604543840965,97.82609,100.0,100.0,89.02439,66.666664,96.80851,94.50549,78.35052,74.22681,71.604935,93.93939,92.0,96.0,77.55102,100.0,93.93939,95.0,94.680855,92.708336,85.26316,70.96774,95.0,89.79592,33.67347,90.0,73.333336,53.0,85.85859,73.73737,75.0,76.5625
81,84.45154419595315,97.82609,96.34146,98.611115,89.02439,66.666664,96.80851,95.60439,78.35052,74.22681,71.604935,93.93939,92.0,93.0,76.53061,100.0,91.91919,95.0,94.680855,95.833336,85.26316,70.96774,96.0,90.81633,40.816326,93.333336,74.666664,54.0,84.84849,66.666664,76.041664,76.5625
87,84.59353922612709,97.82609,96.34146,100.0,89.02439,66.666664,96.80851,96.7033,79.38145,73.19588,71.604935,92.92929,93.0,93.0,76.53061,96.0,92.92929,98.0,96.80851,96.875,86.31579,70.96774,96.0,89.79592,35.714287,91.111115,73.333336,62.0,85.85859,64.64646,73.958336,79.6875
90,84.77103301384452,97.82609,97.560974,100.0,89.02439,69.44444,96.80851,94.50549,79.38145,73.19588,71.604935,93.93939,92.0,93.0,77.55102,98.0,92.92929,95.0,96.80851,94.791664,94.73684,70.96774,96.0,89.79592,39.795918,91.111115,73.333336,54.0,85.85859,66.666664,76.041664,78.125
92,85.01952431664891,97.82609,97.560974,100.0,89.02439,66.666664,96.80851,95.60439,78.35052,72.16495,71.604935,92.92929,92.0,93.0,76.53061,97.0,92.92929,97.0,96.80851,93.75,86.31579,70.96774,96.0,89.79592,50.0,91.111115,73.333336,56.0,86.86869,73.73737,73.958336,79.6875
111,85.0550230741924,97.82609,96.34146,100.0,89.02439,66.666664,96.80851,96.7033,78.35052,74.22681,72.83951,93.93939,92.0,93.0,76.53061,100.0,91.91919,93.0,95.74468,93.75,85.26316,70.96774,95.0,89.79592,53.061226,91.111115,74.666664,57.0,84.84849,73.73737,73.958336,78.125
118,85.37451189208377,97.82609,96.34146,100.0,89.02439,69.44444,96.80851,94.50549,78.35052,72.16495,72.83951,92.92929,92.0,93.0,76.53061,100.0,92.92929,94.0,96.80851,94.791664,85.26316,70.96774,95.0,89.79592,62.2449,92.22222,73.333336,55.0,85.85859,73.73737,73.958336,79.6875
